A分支-x86_64（二进制包名）,A分支-x86_64（二进制对应源码包名）,A分支-aarch64（二进制包名）,A分支-aarch64（二进制对应源码包名）,A分支-loongarch64（二进制包名）,A分支-loongarch64（二进制对应源码包名）,E分支-x86_64（二进制包名）,E分支-x86_64（二进制对应源码包名）,E分支-aarch64（二进制包名）,E分支-aarch64（二进制对应源码包名）,,,,,,,,,,,,,,,
anaconda-install-env-deps,anaconda,anaconda-user-help,anaconda-user-help,anaconda-widgets,anaconda,automake,automake,avahi-devel,avahi,,,,,,,,,,,,,,,
anaconda-tui,anaconda,anaconda-widgets,anaconda,annobin,annobin,avahi,avahi,avahi-glib,avahi,,,,,,,,,,,,,,,
anaconda-user-help,anaconda-user-help,annobin,annobin,ansible,ansible,avahi-devel,avahi,avahi-libs,avahi,,,,,,,,,,,,,,,
anaconda-widgets,anaconda,ansible,ansible,ant,ant,avahi-glib,avahi,babel,babel,,,,,,,,,,,,,,,
annobin,annobin,ant,ant,ant-antlr,ant,avahi-libs,avahi,babeltrace,babeltrace,,,,,,,,,,,,,,,
ansible,ansible,ant-antlr,ant,ant-apache-bcel,ant,babel,babel,babl,babl,,,,,,,,,,,,,,,
ant,ant,ant-apache-bcel,ant,ant-apache-bsf,ant,babeltrace,babeltrace,babl-devel,babl,,,,,,,,,,,,,,,
ant-antlr,ant,ant-apache-bsf,ant,ant-apache-log4j,ant,babl,babl,basesystem,basesystem,,,,,,,,,,,,,,,
ant-apache-bcel,ant,ant-apache-log4j,ant,ant-apache-oro,ant,babl-devel,babl,bash,bash,,,,,,,,,,,,,,,
ant-apache-bsf,ant,ant-apache-oro,ant,ant-apache-regexp,ant,basesystem,basesystem,bash-completion,bash-completion,,,,,,,,,,,,,,,
ant-apache-log4j,ant,ant-apache-regexp,ant,ant-apache-resolver,ant,bash,bash,bc,bc,,,,,,,,,,,,,,,
ant-apache-oro,ant,ant-apache-resolver,ant,ant-apache-xalan2,ant,bash-completion,bash-completion,bcc,bcc,,,,,,,,,,,,,,,
ant-apache-regexp,ant,ant-apache-xalan2,ant,ant-commons-logging,ant,bc,bc,bcc-tools,bcc,,,,,,,,,,,,,,,
ant-apache-resolver,ant,ant-commons-logging,ant,ant-commons-net,ant,bcc,bcc,bea-stax-api,bea-stax,,,,,,,,,,,,,,,
ant-apache-xalan2,ant,ant-commons-net,ant,ant-contrib,ant-contrib,bcc-tools,bcc,bind,bind,,,,,,,,,,,,,,,
ant-commons-logging,ant,ant-contrib,ant-contrib,ant-contrib-javadoc,ant-contrib,bea-stax-api,bea-stax,bind-chroot,bind,,,,,,,,,,,,,,,
ant-commons-net,ant,ant-contrib-javadoc,ant-contrib,ant-javadoc,ant,bind,bind,bind-dyndb-ldap,bind-dyndb-ldap,,,,,,,,,,,,,,,
